Dataset,Distribution Type,Category/Color,Count
Train,Image Color,#3c0038,15
Train,Image Color,#3c0039,21
Train,Image Color,#3c003a,24
Train,Image Color,#3c003b,15
Train,Image Color,#3c003c,26
Train,Image Color,#3c003d,9
Train,Image Color,#3c0040,17
Train,Image Color,#3c0043,4
Train,Image Color,#3d0038,6
Train,Image Color,#3d0039,10
Train,Image Color,#3d003a,10
Train,Image Color,#3d003b,17
Train,Image Color,#3d003c,11
Train,Image Color,#3d003d,14
Train,Image Color,#3d0040,4
Train,Image Color,#3e0039,17
Train,Image Color,#3e003a,16
Train,Image Color,#3e003b,6
Train,Image Color,#3e003c,24
Train,Image Color,#3e003e,19
Train,Image Color,#3e003f,6
Train,Image Color,#3e0040,19
Train,Image Color,#3e0042,12
Train,Image Color,#3e0043,4
Train,Image Color,#3f000e,1
Train,Image Color,#3f0018,2
Train,Image Color,#3f0037,5
Train,Image Color,#3f0039,4
Train,Image Color,#3f003a,14
Train,Image Color,#3f003b,5
Train,Image Color,#3f003c,22
Train,Image Color,#3f003d,12
Train,Image Color,#3f003e,19
Train,Image Color,#3f003f,10
Train,Image Color,#3f0040,16
Train,Image Color,#3f0041,13
Train,Image Color,#3f0042,18
Train,Image Color,#3f0043,10
Train,Image Color,#40003b,7
Train,Image Color,#40003e,15
Train,Image Color,#40003f,9
Train,Image Color,#400040,20
Train,Image Color,#400041,14
Train,Image Color,#400042,20
Train,Image Color,#400043,17
Train,Image Color,#41003b,4
Train,Image Color,#410040,5
Train,Image Color,#410041,9
Train,Image Color,#410043,8
Train,Image Color,#420000,21
Train,Image Color,#420039,3
Train,Image Color,#42003e,16
Train,Image Color,#420040,18
Train,Image Color,#420042,15
Train,Image Color,#420043,16
Train,Image Color,#420045,12
Train,Image Color,#43003c,6
Train,Image Color,#430040,11
Train,Image Color,#430042,16
Train,Image Color,#430043,17
Train,Image Color,#430044,6
Train,Image Color,#430045,20
Train,Image Color,#440043,8
Train,Image Color,#440044,12
Train,Image Color,#44004a,1
Train,Image Color,#450044,4
Train,Image Color,#450045,19
Train,Image Color,#450047,18
Train,Image Color,#450049,16
Train,Image Color,#460042,16
Train,Image Color,#460043,16
Train,Image Color,#460045,23
Train,Image Color,#460046,11
Train,Image Color,#460047,20
Train,Image Color,#460048,9
Train,Image Color,#46004d,2
Train,Image Color,#470044,9
Train,Image Color,#470046,15
Train,Image Color,#470048,14
Train,Image Color,#470049,7
Train,Image Color,#47004b,6
Train,Image Color,#480042,12
Train,Image Color,#480045,21
Train,Image Color,#480047,24
Train,Image Color,#48004a,14
Train,Image Color,#49003f,1
Train,Image Color,#490042,3
Train,Image Color,#490043,12
Train,Image Color,#490045,18
Train,Image Color,#490046,11
Train,Image Color,#490047,20
Train,Image Color,#490048,11
Train,Image Color,#490049,21
